Date,Close,Open,High,Low,pct_change,log_return
2000-01-04,8.2799,8.2799,8.2799,8.2799,1.2077586415193409e-05,1.207751348175634e-05
2000-01-05,8.2798,8.2798,8.2798,8.2798,-1.2077440548763365e-05,-1.207751348175634e-05
2000-01-06,8.2797,8.2797,8.2797,8.2797,-1.2077586415082386e-05,-1.2077659349518656e-05
2000-01-07,8.2794,8.2794,8.2794,8.2794,-3.623319685486237e-05,-3.623385329287743e-05
2000-01-10,8.2794,8.2794,8.2794,8.2794,0.0,0.0
2000-01-11,8.2795,8.2795,8.2795,8.2795,1.2078169915774596e-05,1.2078096975010055e-05
2000-01-12,8.2796,8.2796,8.2796,8.2796,1.2078024035133694e-05,1.20779510965896e-05
2000-01-13,8.2798,8.2798,8.2798,8.2798,2.415575631675715e-05,2.4155464570796426e-05
2000-01-14,8.2797,8.2797,8.2797,8.2797,-1.2077586415082386e-05,-1.2077659349518656e-05
2000-01-17,8.2793,8.2793,8.2793,8.2793,-4.831092914003854e-05,-4.831209615074883e-05
2000-01-18,8.2793,8.2793,8.2793,8.2793,0.0,0.0
2000-01-19,8.2797,8.2797,8.2797,8.2797,4.831326319876261e-05,4.831209615074883e-05
2000-01-20,8.2794,8.2794,8.2794,8.2794,-3.623319685486237e-05,-3.623385329287743e-05
2000-01-21,8.2795,8.2795,8.2795,8.2795,1.2078169915774596e-05,1.2078096975010055e-05
2000-01-24,8.2789,8.2789,8.2789,8.2789,-7.246814421169034e-05,-7.247077015470893e-05
2000-01-25,8.2786,8.2786,8.2786,8.2786,-3.623669811203545e-05,-3.6237354676949e-05
2000-01-26,8.2782,8.2782,8.2782,8.2782,-4.831734834398471e-05,-4.831851566455825e-05
2000-01-27,8.2783,8.2783,8.2783,8.2783,1.2079920755692086e-05,1.2079847794055354e-05
2000-01-28,8.2781,8.2781,8.2781,8.2781,-2.4159549665947463e-05,-2.415984151271644e-05
2000-01-31,8.2777,8.2777,8.2777,8.2777,-4.8320266727963634e-05,-4.8321434189535495e-05
2000-02-01,8.2774,8.2774,8.2774,8.2774,-3.624195126661345e-05,-3.624260802181922e-05
2000-02-02,8.2773,8.2773,8.2773,8.2773,-1.2081088264448424e-05,-1.208116124162828e-05
2000-02-03,8.2781,8.2781,8.2781,8.2781,9.66498737511312e-05,9.6645203452983e-05
2000-02-04,8.2788,8.2788,8.2788,8.2788,8.45604667738531e-05,8.455689173914038e-05
2000-02-07,8.2788,8.2788,8.2788,8.2788,0.0,0.0
2000-02-08,8.2788,8.2788,8.2788,8.2788,0.0,0.0
2000-02-09,8.2788,8.2788,8.2788,8.2788,0.0,0.0
2000-02-10,8.2788,8.2788,8.2788,8.2788,0.0,0.0
2000-02-11,8.2788,8.2788,8.2788,8.2788,0.0,0.0
2000-02-14,8.2779,8.2779,8.2779,8.2779,-0.0001087114074502,-0.0001087173169636
2000-02-15,8.2777,8.2777,8.2777,8.2777,-2.4160717090215836e-05,-2.416100896507345e-05
2000-02-16,8.2777,8.2777,8.2777,8.2777,0.0,0.0
2000-02-17,8.2772,8.2772,8.2772,8.2772,-6.0403252110985406e-05,-6.040507646076776e-05
2000-02-18,8.2772,8.2772,8.2772,8.2772,0.0,0.0
2000-02-21,8.2775,8.2775,8.2775,8.2775,3.624414053060576e-05,3.6243483727549375e-05
2000-02-22,8.2773,8.2773,8.2773,8.2773,-2.4161884626949792e-05,-2.416217653022912e-05
2000-02-23,8.278,8.278,8.278,8.278,8.456863953232308e-05,8.456506380660755e-05
2000-02-24,8.278,8.278,8.278,8.278,0.0,0.0
2000-02-25,8.2786,8.2786,8.2786,8.2786,7.248127567049956e-05,7.247864902959478e-05
2000-02-28,8.2786,8.2786,8.2786,8.2786,0.0,0.0
2000-02-29,8.2786,8.2786,8.2786,8.2786,0.0,0.0
2000-03-01,8.2786,8.2786,8.2786,8.2786,0.0,0.0
2000-03-02,8.2787,8.2787,8.2787,8.2787,1.2079337085912911e-05,1.2079264131603653e-05
2000-03-03,8.2789,8.2789,8.2789,8.2789,2.415838235458878e-05,2.4158090545345345e-05
2000-03-06,8.2785,8.2785,8.2785,8.2785,-4.831559748286196e-05,-4.8316764718947525e-05
2000-03-07,8.2784,8.2784,8.2784,8.2784,-1.2079482998084146e-05,-1.207955595550203e-05
2000-03-08,8.2786,8.2786,8.2786,8.2786,2.4159257827838232e-05,2.415896599750056e-05
2000-03-09,8.2787,8.2787,8.2787,8.2787,1.2079337085912911e-05,1.2079264131603653e-05
2000-03-10,8.2785,8.2785,8.2785,8.2785,-2.4158382354921848e-05,-2.415867417360218e-05
2000-03-13,8.2781,8.2781,8.2781,8.2781,-4.8317931992447605e-05,-4.8319099341220806e-05
2000-03-14,8.278,8.278,8.278,8.278,-1.2080066681963151e-05,-1.2080139646375445e-05
2000-03-15,8.2778,8.2778,8.2778,8.2778,-2.416042522368489e-05,-2.416071709143708e-05
2000-03-16,8.2777,8.2777,8.2777,8.2777,-1.2080504481870593e-05,-1.2080577451722974e-05
2000-03-17,8.2785,8.2785,8.2785,8.2785,9.664520337770988e-05,9.66405335307563e-05
2000-03-20,8.2786,8.2786,8.2786,8.2786,1.207948299830619e-05,1.2079410041998528e-05
2000-03-21,8.2783,8.2783,8.2783,8.2783,-3.62380112580718e-05,-3.6238667870502894e-05
2000-03-22,8.2783,8.2783,8.2783,8.2783,0.0,0.0
2000-03-23,8.2787,8.2787,8.2787,8.2787,4.831909933211698e-05,4.831793200210655e-05
2000-03-24,8.2789,8.2789,8.2789,8.2789,2.415838235458878e-05,2.4158090545345345e-05
2000-03-27,8.2792,8.2792,8.2792,8.2792,3.6236698111924426e-05,3.623604157887428e-05
2000-03-28,8.2795,8.2795,8.2795,8.2795,3.62353850615893e-05,3.623472857583465e-05
2000-03-29,8.2789,8.2789,8.2789,8.2789,-7.246814421169034e-05,-7.247077015470893e-05
2000-03-30,8.2788,8.2788,8.2788,8.2788,-1.207889937071549e-05,-1.2078972321027948e-05
2000-03-31,8.2787,8.2787,8.2787,8.2787,-1.2079045272228583e-05,-1.2079118224317398e-05
2000-04-03,8.2786,8.2786,8.2786,8.2786,-1.207919117729439e-05,-1.2079264131603653e-05
2000-04-04,8.2791,8.2791,8.2791,8.2791,6.03966854297866e-05,6.03948616233474e-05
2000-04-05,8.2795,8.2795,8.2795,8.2795,4.83144303125016e-05,4.831326320831053e-05
2000-04-06,8.2795,8.2795,8.2795,8.2795,0.0,0.0
2000-04-07,8.2795,8.2795,8.2795,8.2795,0.0,0.0
2000-04-10,8.2798,8.2798,8.2798,8.2798,3.623407210562313e-05,3.6233415667386026e-05
2000-04-11,8.2791,8.2791,8.2791,8.2791,-8.454310490590977e-05,-8.454667887569656e-05
2000-04-12,8.2796,8.2796,8.2796,8.2796,6.0393037890627e-05,6.039121430490013e-05
2000-04-13,8.2794,8.2794,8.2794,8.2794,-2.4155756316646126e-05,-2.4156048071599656e-05
2000-04-14,8.2794,8.2794,8.2794,8.2794,0.0,0.0
2000-04-17,8.2794,8.2794,8.2794,8.2794,0.0,0.0
2000-04-18,8.279,8.279,8.279,8.279,-4.8312679662876334e-05,-4.831384675796357e-05
2000-04-19,8.2793,8.2793,8.2793,8.2793,3.623626041782124e-05,3.623560390009217e-05
2000-04-20,8.2791,8.2791,8.2791,8.2791,-2.4156631599270284e-05,-2.4156923375429077e-05
2000-04-21,8.2785,8.2785,8.2785,8.2785,-7.24716454687524e-05,-7.247427166534592e-05
2000-04-24,8.2786,8.2786,8.2786,8.2786,1.207948299830619e-05,1.2079410041998528e-05
2000-04-25,8.2791,8.2791,8.2791,8.2791,6.03966854297866e-05,6.03948616233474e-05
2000-04-26,8.2795,8.2795,8.2795,8.2795,4.83144303125016e-05,4.831326320831053e-05
2000-04-27,8.2798,8.2798,8.2798,8.2798,3.623407210562313e-05,3.6233415667386026e-05
2000-04-28,8.2799,8.2799,8.2799,8.2799,1.2077586415193409e-05,1.207751348175634e-05
2000-05-01,8.2799,8.2799,8.2799,8.2799,0.0,0.0
2000-05-02,8.2799,8.2799,8.2799,8.2799,0.0,0.0
2000-05-03,8.2799,8.2799,8.2799,8.2799,0.0,0.0
2000-05-04,8.2799,8.2799,8.2799,8.2799,0.0,0.0
2000-05-05,8.2799,8.2799,8.2799,8.2799,0.0,0.0
2000-05-08,8.2798,8.2798,8.2798,8.2798,-1.2077440548763365e-05,-1.207751348175634e-05
2000-05-09,8.279,8.279,8.279,8.279,-9.662069132099216e-05,-9.662535940035966e-05
2000-05-10,8.2785,8.2785,8.2785,8.2785,-6.039376736333146e-05,-6.0395591140682825e-05
2000-05-11,8.2782,8.2782,8.2782,8.2782,-3.623844899425244e-05,-3.623910562255972e-05
2000-05-12,8.2778,8.2778,8.2778,8.2778,-4.831968302299039e-05,-4.832085045647361e-05
2000-05-15,8.2777,8.2777,8.2777,8.2777,-1.2080504481870593e-05,-1.2080577451722974e-05
2000-05-16,8.2772,8.2772,8.2772,8.2772,-6.0403252110985406e-05,-6.040507646076776e-05
2000-05-17,8.2768,8.2768,8.2768,8.2768,-4.832552070754837e-05,-4.832668842347232e-05
2000-05-18,8.2773,8.2773,8.2773,8.2773,6.040982022037511e-05,6.0407995620792576e-05
2000-05-19,8.2768,8.2768,8.2768,8.2768,-6.040617109448476e-05,-6.0407995620792576e-05
2000-05-22,8.277,8.277,8.277,8.277,2.4163928088016817e-05,2.416363614532457e-05
2000-05-23,8.2768,8.2768,8.2768,8.2768,-2.416334420674016e-05,-2.416363614532457e-05
2000-05-24,8.2769,8.2769,8.2769,8.2769,1.2081964044119433e-05,1.2081891057835747e-05
2000-05-25,8.2773,8.2773,8.2773,8.2773,4.832727228798461e-05,4.832610456295683e-05
2000-05-26,8.2771,8.2771,8.2771,8.2771,-2.416246843772729e-05,-2.4162760354773383e-05
2000-05-29,8.2768,8.2768,8.2768,8.2768,-3.6244578415223216e-05,-3.6245235266019193e-05
2000-05-30,8.2772,8.2772,8.2772,8.2772,4.832785617647773e-05,4.832668842347232e-05
2000-05-31,8.2773,8.2773,8.2773,8.2773,1.2081380176942602e-05,1.2081307197320257e-05
2000-06-01,8.2771,8.2771,8.2771,8.2771,-2.416246843772729e-05,-2.4162760354773383e-05
2000-06-02,8.2771,8.2771,8.2771,8.2771,0.0,0.0
2000-06-05,8.277,8.277,8.277,8.277,-1.208152613851876e-05,-1.208159912069462e-05
2000-06-06,8.2773,8.2773,8.2773,8.2773,3.624501631027677e-05,3.6244359475468e-05
2000-06-07,8.2773,8.2773,8.2773,8.2773,0.0,0.0
2000-06-08,8.2775,8.2775,8.2775,8.2775,2.416246843761627e-05,2.416217653022912e-05
2000-06-09,8.2772,8.2772,8.2772,8.2772,-3.624282694036918e-05,-3.6243483727549375e-05
2000-06-12,8.2771,8.2771,8.2771,8.2771,-1.208138017683158e-05,-1.2081453157453126e-05
2000-06-13,8.277,8.277,8.277,8.277,-1.208152613851876e-05,-1.208159912069462e-05
2000-06-14,8.2768,8.2768,8.2768,8.2768,-2.416334420674016e-05,-2.416363614532457e-05
2000-06-15,8.2768,8.2768,8.2768,8.2768,0.0,0.0
2000-06-16,8.2768,8.2768,8.2768,8.2768,0.0,0.0
2000-06-19,8.2768,8.2768,8.2768,8.2768,0.0,0.0
2000-06-20,8.277,8.277,8.277,8.277,2.4163928088016817e-05,2.416363614532457e-05
2000-06-21,8.2772,8.2772,8.2772,8.2772,2.4163344207073223e-05,2.4163052278147745e-05
2000-06-22,8.2771,8.2771,8.2771,8.2771,-1.208138017683158e-05,-1.2081453157453126e-05
2000-06-23,8.2769,8.2769,8.2769,8.2769,-2.41630522769265e-05,-2.416334420818345e-05
2000-06-26,8.2773,8.2773,8.2773,8.2773,4.832727228798461e-05,4.832610456295683e-05
2000-06-27,8.2774,8.2774,8.2774,8.2774,1.2081234218808136e-05,1.208116124162828e-05
